"duration","item","trial","participant"
0.683332200162113,"right",27,"sub01"
0.699997199932113,"noFix",27,"sub01"
1.05830259993672,"up",27,"sub01"
0.50831799977459,"noFix",28,"sub01"
0.774995600106195,"right",28,"sub01"
0.775005799718201,"noFix",28,"sub01"
0.966622700216249,"left",28,"sub01"
0.483271300094202,"noFix",29,"sub01"
0.733307600021362,"left",29,"sub01"
0.74166790000163,"noFix",29,"sub01"
0.966570700053126,"right",29,"sub01"
0.491666400339454,"noFix",30,"sub01"
0.741664199857041,"right",30,"sub01"
0.758321200031787,"noFix",30,"sub01"
1.00830610003322,"up",30,"sub01"
1.02496400033124,"noFix",30,"sub01"
1.45000599999912,"left",30,"sub01"
1.450000599958,"noFix",30,"sub01"
1.49995299987495,"right",30,"sub01"
0.433329500257969,"noFix",31,"sub01"
