"subj","condition","nAlt","val1","val2","val3","upVal","leftVal","rightVal","rt","chosenPos","correctPos","conf","rt2","corr","targetPos","distractorPos","dudPos","chosenItem"
"sub01",0.7,3,100,90,63,63,90,100,0.492040399927646,"left","right",4,0.424210499972105,0,"right","left","up","distractor"
"sub01",0.3,3,100,90,27,27,100,90,0.455444599501789,"left","left",4,0.0863193995319307,1,"left","right","up","target"
"sub01",0.7,3,100,90,63,63,100,90,0.502991499379277,"left","left",4,0.308763599488884,1,"left","right","up","target"
"sub01",0.5,3,100,90,45,45,90,100,0.505452099256217,"left","right",4,0.02376479934901,0,"right","left","up","distractor"
"sub01",0,2,100,90,0,100,90,0,0.392875299789011,"left","up",4,0.0437999996356666,0,"up","left","right","distractor"
"sub01",0.85,3,100,90,76,90,76,100,0.497834499925375,"up","right",3,0.0714322994463146,0,"right","up","left","distractor"
"sub01",0.85,3,100,90,76,90,100,76,0.470490799751133,"left","left",4,0.304259599652141,1,"left","up","right","target"
"sub01",0.95,3,100,90,86,100,86,90,0.52528699953109,"left","up",4,0.107157899532467,0,"up","right","left","dud"
"sub01",0.95,3,100,90,86,100,90,86,0.428507299628109,"left","up",4,0.0544681996107101,0,"up","left","right","distractor"
"sub01",0.5,3,100,90,45,100,45,90,0.427933299448341,"up","up",3,0.0906021995469928,1,"up","right","left","target"
"sub01",0.95,3,100,90,86,90,86,100,0.675674799829721,"left","right",4,0.122322999872267,0,"right","up","left","dud"
"sub01",0,2,100,90,0,0,100,90,0.431971599347889,"left","left",4,0.0242986995726824,1,"left","right","up","target"
"sub01",0.85,3,100,90,76,76,100,90,0.653995099943131,"up","left",1,0.245128499809653,0,"left","right","up","dud"
"sub01",0.5,3,100,90,45,100,45,90,0.504434199538082,"up","up",4,0.0575373992323875,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,90,100,63,0.461010199505836,"left","left",4,0.0717179998755455,1,"left","up","right","target"
"sub01",0,2,100,90,0,90,100,0,0.423171499744058,"left","left",4,0.0172453997656703,1,"left","up","right","target"
"sub01",0.95,3,100,90,86,100,90,86,0.475361599586904,"left","up",4,0.112240700051188,0,"up","left","right","distractor"
"sub01",0.3,3,100,90,27,90,27,100,0.470631999894977,"up","right",3,0.33279770007357,0,"right","up","left","distractor"
"sub01",0.5,3,100,90,45,100,90,45,0.706100499723107,"up","up",2,0.25395319936797,1,"up","left","right","target"
"sub01",0,2,100,90,0,0,90,100,0.605925299692899,"left","right",4,0.156343800015748,0,"right","left","up","distractor"
"sub01",0.85,3,100,90,76,100,90,76,0.584510799497366,"up","up",4,0.080531099345535,1,"up","left","right","target"
"sub01",0.5,3,100,90,45,45,100,90,0.504356399644166,"left","left",4,0.0702223996631801,1,"left","right","up","target"
"sub01",0,2,100,90,0,100,90,0,0.648448399733752,"up","up",4,0.120309199672192,1,"up","left","right","target"
"sub01",0,2,100,90,0,90,0,100,0.51016699988395,"up","right",4,0.098312399815768,0,"right","up","left","distractor"
"sub01",0.3,3,100,90,27,27,100,90,0.367830599658191,"left","left",4,0.100498299580067,1,"left","right","up","target"
"sub01",0.85,3,100,90,76,90,76,100,0.682493699714541,"up","right",4,0.0559715996496379,0,"right","up","left","distractor"
"sub01",0.5,3,100,90,45,90,45,100,0.477883199695498,"up","right",4,0.0812741992995143,0,"right","up","left","distractor"
"sub01",0.7,3,100,90,63,63,100,90,0.504258499480784,"left","left",4,0.0357028995640576,1,"left","right","up","target"
"sub01",0.7,3,100,90,63,100,63,90,0.375051099807024,"left","up",4,0.0493910992518067,0,"up","right","left","dud"
"sub01",0,2,100,90,0,90,100,0,0.400742999278009,"up","left",2,0.00519439950585365,0,"left","up","right","distractor"
"sub01",0.3,3,100,90,27,100,27,90,0.410776400007308,"up","up",4,0.478715299628675,1,"up","right","left","target"
"sub01",0.7,3,100,90,63,100,63,90,0.573816999793053,"up","up",2,0.0969081996008754,1,"up","right","left","target"
"sub01",0.85,3,100,90,76,76,100,90,0.57930939970538,"left","left",4,0.0959321996197104,1,"left","right","up","target"
"sub01",0.85,3,100,90,76,90,100,76,0.701225499622524,"left","left",3,0.0331538994796574,1,"left","up","right","target"
"sub01",0.95,3,100,90,86,90,86,100,0.888803899753839,"up","right",1,0.0819563996046782,0,"right","up","left","distractor"
"sub01",0.5,3,100,90,45,90,100,45,0.684114299714565,"left","left",3,0.198691600002348,1,"left","up","right","target"
