"trial","start","end","x","y","mad.x","mad.y","peak.vx","peak.vy","dur","event","participant","Condition","UVal","LVal","RVal","item"
3,288.604988600011,288.779984100023,0.339117541909218,0.243074305355549,0.0460057838559151,0.0451520317241549,0.0330305323004723,0.0328359492123127,0.174995500012301,"fixation","sub10",0,90,0,100,"noFix"
3,288.821650300059,288.94664570014,0.0139171332120895,8.34280061721802,0.0689127282232046,0.0913475566864014,-0.0570979788899422,-0.142220973968506,0.124995400081389,"fixation","sub10",0,90,0,100,"up"
3,289.046636600047,289.196647000033,12.2133474349976,-8.99735140800476,0.0860354684829712,0.165970589733124,-0.0686659812927246,-0.129700899124146,0.150010399986058,"fixation","sub10",0,90,0,100,"right"
3,289.263281099964,289.471628600033,-0.545932590961456,10.722056388855,0.0499524916559458,0.0654173694133759,-0.120124989189208,0.296958684921265,0.208347500069067,"fixation","sub10",0,90,0,100,"up"
3,289.579976400011,289.63827230013,12.3353695869446,-8.54560852050781,0.0615838854789734,0.0710960157394409,0.0686264038085938,-0.140857934951782,0.0582959001185372,"too short","sub10",0,90,0,100,"right"
4,291.529923099908,291.704975100001,-0.0315965991467237,-1.54846948385239,0.0500010564096272,0.0249339056253433,0.0338441412895918,0.05792036652565,0.175052000093274,"fixation","sub10",0.3,90,27,100,"noFix"
4,291.73834260006,291.954985899967,-0.113507312722504,1.38984057307243,0.0306133583262563,0.0951390649437904,-0.0315589914098382,0.0559200942516327,0.216643299907446,"fixation","sub10",0.3,90,27,100,"noFix"
4,292.004985600128,292.071637799963,-11.224107503891,-7.12378299236298,0.0313709419727325,0.0353472315788269,0.109004974365234,-0.041185736656189,0.0666521998355165,"fixation","sub10",0.3,90,27,100,"left"
4,292.138313599979,292.254960400052,11.1993551254272,-7.81751275062561,0.0527889648914337,0.0379274543523788,0.0734515190124512,0.0957398414611816,0.116646800073795,"fixation","sub10",0.3,90,27,100,"right"
4,292.329963500146,292.57159149996,-1.07189084589481,9.51564621925354,0.0636116862505674,0.0532721712112427,-0.0750827938318253,0.0958714485168457,0.241627999814227,"fixation","sub10",0.3,90,27,100,"up"
4,292.596583000035,292.596583000035,5.69408917427063,4.21797275543213,0,0,-3.42055706679821,2.66600251197815,0,"blink","sub10",0.3,90,27,100,"noFix"
5,294.513235500082,294.571619700058,0.299439817667007,-2.31312263011932,0.0228038498952985,0.0328334629297256,0.0151723176240921,0.027113676071167,0.0583841999759898,"fixation","sub10",0,90,0,100,"noFix"
5,294.596632400062,294.829928900115,-0.205130819231272,-1.75412333011627,0.0614713243871927,0.0684888401627541,0.0507346726953983,-0.164586216211319,0.233296500053257,"fixation","sub10",0,90,0,100,"noFix"
5,294.854942200123,295.038270200021,-0.300425278459443,4.70702159404755,0.0297422228360258,0.0622392362594604,-0.0622926456853747,0.0922921895980835,0.183327999897301,"fixation","sub10",0,90,0,100,"up"
